Date,Open,High,Low,Close
02/16/2022,"4,458.75","4,484.50","4,422.75","4,470.00"
02/15/2022,"4,393.50","4,468.00","4,381.75","4,464.50"
02/14/2022,"4,411.75","4,428.00","4,354.00","4,394.00"
02/11/2022,"4,494.50","4,520.50","4,393.25","4,409.50"
02/10/2022,"4,582.25","4,583.75","4,476.00","4,497.50"
02/09/2022,"4,519.00","4,585.00","4,517.25","4,577.75"
02/08/2022,"4,484.00","4,523.75","4,456.25","4,512.50"
02/07/2022,"4,497.00","4,514.50","4,462.75","4,475.75"
02/04/2022,"4,518.00","4,532.50","4,438.50","4,492.50"
02/03/2022,"4,545.75","4,548.25","4,462.00","4,469.00"
02/02/2022,"4,552.00","4,586.00","4,535.25","4,577.25"
02/01/2022,"4,493.25","4,554.75","4,474.00","4,535.00"
01/31/2022,"4,423.50","4,507.75","4,395.50","4,504.25"
01/28/2022,"4,348.00","4,426.00","4,266.25","4,423.25"
01/27/2022,"4,345.25","4,422.00","4,263.25","4,317.75"
01/26/2022,"4,308.75","4,446.25","4,294.25","4,341.50"
01/25/2022,"4,402.75","4,406.75","4,276.50","4,349.00"
01/24/2022,"4,389.00","4,427.50","4,212.75","4,403.75"
01/21/2022,"4,454.25","4,487.00","4,381.25","4,390.00"
01/20/2022,"4,526.00","4,594.25","4,437.75","4,474.75"
01/19/2022,"4,577.75","4,603.00","4,517.25","4,524.25"
01/18/2022,"4,656.00","4,661.75","4,560.00","4,571.25"
01/14/2022,"4,655.00","4,667.00","4,606.00","4,654.75"
01/13/2022,"4,719.25","4,736.25","4,642.50","4,652.00"
01/12/2022,"4,704.00","4,739.50","4,695.00","4,716.25"
01/11/2022,"4,663.50","4,707.50","4,627.25","4,705.00"
01/10/2022,"4,671.25","4,681.75","4,572.75","4,662.25"
01/07/2022,"4,695.00","4,705.75","4,653.75","4,667.75"
01/06/2022,"4,692.00","4,715.75","4,662.00","4,687.50"
01/05/2022,"4,783.50","4,788.25","4,689.50","4,692.50"
01/04/2022,"4,785.25","4,808.25","4,764.50","4,784.25"
01/03/2022,"4,771.00","4,791.25","4,747.50","4,786.00"
12/31/2021,"4,773.75","4,778.50","4,750.50","4,758.50"
12/30/2021,"4,784.75","4,799.75","4,767.25","4,772.25"
12/29/2021,"4,781.00","4,796.00","4,770.00","4,784.50"
12/28/2021,"4,780.50","4,798.00","4,770.50","4,778.50"
12/27/2021,"4,717.00","4,784.25","4,713.25","4,782.25"
12/23/2021,"4,689.00","4,731.25","4,684.25","4,715.75"
12/22/2021,"4,641.75","4,690.50","4,622.25","4,686.00"
12/21/2021,"4,567.75","4,643.00","4,565.75","4,640.75"
12/20/2021,"4,612.00","4,621.50","4,520.25","4,558.50"
12/17/2021,"4,664.00","4,668.00","4,590.00","4,610.00"
12/16/2021,"4,702.75","4,743.25","4,642.00","4,659.25"
12/15/2021,"4,629.00","4,705.75","4,602.00","4,700.50"
12/14/2021,"4,663.00","4,676.75","4,596.25","4,628.00"
12/13/2021,"4,704.50","4,723.25","4,655.50","4,659.50"
12/10/2021,"4,662.25","4,705.25","4,657.00","4,703.50"
12/09/2021,"4,691.75","4,699.25","4,655.25","4,659.75"
12/08/2021,"4,695.25","4,712.00","4,671.75","4,699.00"
12/07/2021,"4,594.25","4,697.25","4,587.25","4,685.00"
12/06/2021,"4,542.25","4,611.75","4,531.50","4,590.00"
12/03/2021,"4,587.25","4,606.50","4,492.00","4,537.50"
12/02/2021,"4,514.75","4,593.75","4,505.50","4,575.75"
12/01/2021,"4,587.50","4,650.75","4,497.75","4,508.50"
11/30/2021,"4,657.25","4,667.50","4,557.00","4,566.25"
11/29/2021,"4,589.00","4,669.75","4,588.75","4,651.00"
11/26/2021,"4,707.75","4,708.50","4,577.25","4,595.75"
11/24/2021,"4,686.25","4,702.25","4,656.25","4,699.00"
11/23/2021,"4,686.00","4,695.50","4,649.00","4,688.50"
11/22/2021,"4,701.00","4,740.50","4,674.25","4,679.75"
11/19/2021,"4,705.25","4,723.50","4,684.25","4,694.50"
11/18/2021,"4,685.25","4,706.50","4,668.00","4,701.50"
11/17/2021,"4,696.50","4,701.00","4,679.25","4,686.25"
11/16/2021,"4,680.75","4,709.75","4,670.75","4,696.00"
11/15/2021,"4,684.75","4,697.50","4,667.00","4,679.00"
11/12/2021,"4,647.00","4,685.50","4,643.75","4,678.25"
11/11/2021,"4,645.00","4,661.50","4,638.00","4,643.00"
